inn,brand_name,brand_key,sponsor,authority,route_final,form_canon,sponsor_class,strength_raw,total_mg,total_volume_ml,conc_mg_per_ml,presentation_type,presentation_idx,most_recent_nct_id,most_recent_phase
marstacimab,HYMPAVZI,HYMPAVZI,Pfizer Laboratories Div Pfizer Inc,FDA,SC,prefilled_syringe,originator,150 mg/mL,,,150.0,liquid,0,NCT07161687,Approved
mepolizumab,NUCALA,NUCALA,GlaxoSmithKline LLC,FDA,SC,other,originator,100 mg/mL,,,100.0,liquid,0,NCT06069310,Approved
mogamulizumab,POTELIGEO,POTELIGEO,"Kyowa Kirin, Inc.",FDA,IV,solution,originator,20 mg/5 mL (4 mg/mL),20.0,5.0,4.0,liquid,0,NCT05996185,Approved
narsoplimab,YARTEMLEA,YARTEMLEA,Omeros Corporation,FDA,IV,solution,originator,370 mg/2 mL (185 mg/mL),370.0,2.0,185.0,liquid,0,UNKNOWN,Approved
natalizumab,TYSABRI,TYSABRI,Biogen Inc.,FDA,IV,solution,originator,300 mg/15 mL (20 mg/mL),300.0,15.0,20.0,liquid,0,NCT05925049,Approved
natalizumab,TYRUKO,TYRUKO,Sandoz Inc,FDA,IV,solution,biosimilar,300 mg/15 mL (20 mg/mL),300.0,15.0,20.0,liquid,0,UNKNOWN,Approved
naxitamab,DANYELZA,DANYELZA,"Y-mAbs Therapeutics, Inc.",FDA,IV,solution,originator,40 mg/10 mL (4 mg/mL),40.0,10.0,4.0,liquid,0,NCT06540963,Approved
necitumumab,PORTRAZZA,PORTRAZZA,Eli Lilly and Company,FDA,IV,solution,originator,800 mg/50 mL (16 mg/mL),800.0,50.0,16.0,liquid,0,NCT03944772,Approved
nemolizumab,NEMLUVIO,NEMLUVIO,"Galderma Laboratories, L.P.",FDA,SC,lyophilized_powder,originator,30 mg/0.49 mL,30.0,0.49,61.22448979591837,liquid,0,UNKNOWN,Approved
nipocalimab,IMAAVY,IMAAVY,"Janssen Biotech, Inc.",FDA,IV,solution,originator,185 mg/mL,,,185.0,liquid,0,UNKNOWN,Approved
nirsevimab,BEYFORTUS,BEYFORTUS,Sanofi Pasteur Inc.,FDA,IM,prefilled_syringe,originator,50 mg/0.5 mL; 100 mg/mL,50.0,0.5,100.0,liquid,0,NCT07158814,Approved
nirsevimab,BEYFORTUS,BEYFORTUS,Sanofi Pasteur Inc.,FDA,IM,prefilled_syringe,originator,50 mg/0.5 mL; 100 mg/mL,,,100.0,liquid,1,NCT07158814,Approved
nivolumab,OPDIVO QVANTIG,OPDIVO QVANTIG,"E.R. Squibb & Sons, L.L.C.",FDA,SC,solution,biosimilar,"300 mg nivolumab and 5,000 units hyaluronidase per 2.5 mL (120 mg/2,000 units per mL)",300.0,2.5,120.0,liquid,0,UNKNOWN,Approved
nivolumab,OPDUALAG,OPDUALAG,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,biosimilar,240 mg of nivolumab and 80 mg of relatlimab per 20 mL (12 mg and 4 mg per mL),240.0,20.0,12.0,liquid,0,NCT06743126,Approved
nivolumab,OPDUALAG,OPDUALAG,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,biosimilar,240 mg of nivolumab and 80 mg of relatlimab per 20 mL (12 mg and 4 mg per mL),80.0,20.0,4.0,liquid,1,NCT06743126,Approved
nivolumab,OPDIVO,OPDIVO,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,originator,"40 mg/4 mL (10 mg/mL), 100 mg/10 mL (10 mg/mL), 120 mg/12 mL (10 mg/mL), and 240 mg/24 mL (10 mg/mL)",40.0,4.0,10.0,liquid,0,NCT04134325,Approved
nivolumab,OPDIVO,OPDIVO,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,originator,"40 mg/4 mL (10 mg/mL), 100 mg/10 mL (10 mg/mL), 120 mg/12 mL (10 mg/mL), and 240 mg/24 mL (10 mg/mL)",100.0,10.0,10.0,liquid,1,NCT04134325,Approved
nivolumab,OPDIVO,OPDIVO,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,originator,"40 mg/4 mL (10 mg/mL), 100 mg/10 mL (10 mg/mL), 120 mg/12 mL (10 mg/mL), and 240 mg/24 mL (10 mg/mL)",120.0,12.0,10.0,liquid,2,NCT04134325,Approved
nivolumab,OPDIVO,OPDIVO,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,originator,"40 mg/4 mL (10 mg/mL), 100 mg/10 mL (10 mg/mL), 120 mg/12 mL (10 mg/mL), and 240 mg/24 mL (10 mg/mL)",240.0,24.0,10.0,liquid,3,NCT04134325,Approved
obiltoxaximab,ANTHIM,ANTHIM,"Elusys Therapeutics, Inc.",FDA,IV,solution,originator,600 mg/6 mL (100 mg/mL),600.0,6.0,100.0,liquid,0,NCT03088111,Approved
obinutuzumab,GAZYVA,GAZYVA,"Genentech, Inc.",FDA,IV,solution,biosimilar,"1,000 mg/40 mL (25 mg/mL)",1000.0,40.0,25.0,liquid,0,NCT06943872,Approved
ocrelizumab,OCREVUS,OCREVUS,"Genentech, Inc.",FDA,IV,solution,originator,300 mg/10 mL (30 mg/mL),300.0,10.0,30.0,liquid,0,NCT05285891,Approved
ocrelizumab,OCREVUS ZUNOVO,OCREVUS ZUNOVO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"920 mg ocrelizumab and 23,000 units hyaluronidase per 23 mL (40 mg and 1,000 units per mL)",920.0,23.0,40.0,liquid,0,UNKNOWN,Approved
odesivimab,INMAZEB,INMAZEB,"Regeneron Pharmaceuticals, Inc.",FDA,IV,solution,originator,16.67 mg/16.67 mg/16.67 mg per mL; 33.33 mg/33.33 mg/33.33 mg per mL,,,16.67,liquid,0,UNKNOWN,Approved
odesivimab,INMAZEB,INMAZEB,"Regeneron Pharmaceuticals, Inc.",FDA,IV,solution,originator,16.67 mg/16.67 mg/16.67 mg per mL; 33.33 mg/33.33 mg/33.33 mg per mL,,,33.33,liquid,1,UNKNOWN,Approved
ofatumumab,KESIMPTA,KESIMPTA,Novartis Pharmaceuticals Corporation,FDA,SC,prefilled_syringe,originator,20 mg/0.4 mL,20.0,0.4,50.0,liquid,0,NCT06345157,Approved
omalizumab,XOLAIR,XOLAIR,"Genentech, Inc.",FDA,SC,prefilled_syringe,originator,"75 mg/0.5 mL, 150 mg/mL, and 300 mg/2 mL",75.0,0.5,150.0,liquid,0,NCT06943534,Approved
omalizumab,XOLAIR,XOLAIR,"Genentech, Inc.",FDA,SC,prefilled_syringe,originator,"75 mg/0.5 mL, 150 mg/mL, and 300 mg/2 mL",,,150.0,other,1,NCT06943534,Approved
omalizumab,XOLAIR,XOLAIR,"Genentech, Inc.",FDA,SC,prefilled_syringe,originator,"75 mg/0.5 mL, 150 mg/mL, and 300 mg/2 mL",300.0,2.0,150.0,liquid,2,NCT06943534,Approved
palivizumab,SYNAGIS,SYNAGIS,Swedish Orphan Biovitrum AB (publ),FDA,IM,solution,originator,50 mg per 0.5 mL and 100 mg per 1 mL,50.0,0.5,100.0,liquid,0,NCT04540627,Approved
palivizumab,SYNAGIS,SYNAGIS,Swedish Orphan Biovitrum AB (publ),FDA,IM,solution,originator,50 mg per 0.5 mL and 100 mg per 1 mL,100.0,1.0,100.0,liquid,1,NCT04540627,Approved
panitumumab,VECTIBIX,VECTIBIX,"Amgen, Inc",FDA,IV,solution,originator,100 mg/5 mL (20 mg/mL) and 400 mg/20 mL (20 mg/mL),100.0,5.0,20.0,liquid,0,NCT06252649,Approved
panitumumab,VECTIBIX,VECTIBIX,"Amgen, Inc",FDA,IV,solution,originator,100 mg/5 mL (20 mg/mL) and 400 mg/20 mL (20 mg/mL),400.0,20.0,20.0,liquid,1,NCT06252649,Approved
pembrolizumab,KEYTRUDA QLEX,KEYTRUDA QLEX,Merck Sharp & Dohme LLC,FDA,SC,solution,biosimilar,"165 mg/2,000 units per mL",,,165.0,liquid,0,UNKNOWN,Approved
pembrolizumab,KEYTRUDA,KEYTRUDA,Merck Sharp & Dohme LLC,FDA,IV,solution,originator,100 mg/4 mL (25 mg/mL),100.0,4.0,25.0,liquid,0,NCT05633602,Approved
penpulimab,PENPULIMAB-KCQX,PENPULIMAB-KCQX,"Akeso Biopharma, Co., Ltd",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,UNKNOWN,Approved
pertuzumab,PERJETA,PERJETA,"Genentech, Inc.",FDA,IV,solution,originator,420 mg/14 mL (30 mg/mL),420.0,14.0,30.0,liquid,0,NCT02326974,Approved
pertuzumab,PHESGO,PHESGO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"80 mg, 40 mg, and 2,000 units/mL",80.0,,,other,0,NCT04569747,Approved
pertuzumab,PHESGO,PHESGO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"80 mg, 40 mg, and 2,000 units/mL",40.0,,,other,1,NCT04569747,Approved
pertuzumab,PHESGO,PHESGO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"80 mg, 40 mg, and 2,000 units/mL",,,,liquid,2,NCT04569747,Approved
ramucirumab,CYRAMZA,CYRAMZA,Eli Lilly and Company,FDA,IV,solution,originator,100 mg/10 mL (10 mg/mL) or 500 mg/50 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT03909334,Approved
ramucirumab,CYRAMZA,CYRAMZA,Eli Lilly and Company,FDA,IV,solution,originator,100 mg/10 mL (10 mg/mL) or 500 mg/50 mL (10 mg/mL),500.0,50.0,10.0,liquid,1,NCT03909334,Approved
ravulizumab,ULTOMIRIS,ULTOMIRIS,"Alexion Pharmaceuticals, Inc.",FDA,IV,solution,originator,300 mg/3 mL (100 mg/mL),300.0,3.0,100.0,liquid,0,NCT06909253,Approved
relatlimab,OPDUALAG,OPDUALAG,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,originator,240 mg of nivolumab and 80 mg of relatlimab per 20 mL (12 mg and 4 mg per mL),240.0,20.0,12.0,liquid,0,NCT06743126,Approved
relatlimab,OPDUALAG,OPDUALAG,"E.R. Squibb & Sons, L.L.C.",FDA,IV,solution,originator,240 mg of nivolumab and 80 mg of relatlimab per 20 mL (12 mg and 4 mg per mL),80.0,20.0,4.0,liquid,1,NCT06743126,Approved
reslizumab,CINQAIR,CINQAIR,"Teva Respiratory, LLC",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT01111305,Approved
retifanlimab,ZYNYZ,ZYNYZ,Incyte Corporation,FDA,IV,solution,originator,500 mg/20 mL (25 mg/mL),500.0,20.0,25.0,liquid,0,NCT04387084,Approved
rituximab,RITUXAN HYCELA,RITUXAN HYCELA,"Genentech, Inc.",FDA,SC,solution,biosimilar,"120 mg/2,000 Units per mL",,,120.0,liquid,0,NCT05455697,Approved
rituximab,TRUXIMA,TRUXIMA,"Cephalon, Inc.",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT05735834,Approved
rituximab,TRUXIMA,TRUXIMA,"Cephalon, Inc.",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),500.0,50.0,10.0,liquid,1,NCT05735834,Approved
rituximab,RITUXAN,RITUXAN,"Genentech, Inc.",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT06522386,Approved
rituximab,RITUXAN,RITUXAN,"Genentech, Inc.",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),500.0,50.0,10.0,liquid,1,NCT06522386,Approved
rituximab,RIABNI,RIABNI,"Amgen, Inc",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT06510309,Approved
rituximab,RIABNI,RIABNI,"Amgen, Inc",FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),500.0,50.0,10.0,liquid,1,NCT06510309,Approved
rituximab,RUXIENCE,RUXIENCE,Pfizer Laboratories Div Pfizer Inc,FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT07257055,Approved
rituximab,RUXIENCE,RUXIENCE,Pfizer Laboratories Div Pfizer Inc,FDA,IV,solution,biosimilar,100 mg/10 mL (10 mg/mL) and 500 mg/50 mL (10 mg/mL),500.0,50.0,10.0,liquid,1,NCT07257055,Approved
romosozumab,EVENITY,EVENITY,"Amgen, Inc",FDA,SC,prefilled_syringe,originator,105 mg/1.17 mL,105.0,1.17,89.74358974358975,liquid,0,NCT06558188,Approved
rozanolixizumab,RYSTIGGO,RYSTIGGO,"UCB, Inc.",FDA,SC,solution,originator,140 mg/mL,,,140.0,liquid,0,UNKNOWN,Approved
sarilumab,KEVZARA,KEVZARA,Sanofi-Aventis U.S. LLC,FDA,SC,prefilled_syringe,originator,150 mg/1.14 mL and 200 mg/1.14 mL,150.0,1.14,131.578947,liquid,0,NCT06787612,Approved
sarilumab,KEVZARA,KEVZARA,Sanofi-Aventis U.S. LLC,FDA,SC,prefilled_syringe,originator,150 mg/1.14 mL and 200 mg/1.14 mL,200.0,1.14,175.438596,liquid,1,NCT06787612,Approved
satralizumab,ENSPRYNG,ENSPRYNG,"Genentech, Inc.",FDA,SC,prefilled_syringe,originator,120 mg/mL,,,120.0,liquid,0,NCT04660539,Approved
sibeprenlimab,VOYXACT,VOYXACT,"Otsuka America Pharmaceutical, Inc.",FDA,SC,prefilled_syringe,originator,400 mg/2 mL (200 mg/mL),400.0,2.0,200.0,liquid,0,UNKNOWN,Approved
siltuximab,SYLVANT,SYLVANT,"Recordati Rare Diseases, Inc.",FDA,IV,lyophilized_powder,originator,100 mg of lyophilized powder in a single-dose vial; 400 mg of lyophilized powder in a single-dose vial,100.0,,,lyophilized_reconstituted,0,NCT05684692,Approved
siltuximab,SYLVANT,SYLVANT,"Recordati Rare Diseases, Inc.",FDA,IV,lyophilized_powder,originator,100 mg of lyophilized powder in a single-dose vial; 400 mg of lyophilized powder in a single-dose vial,400.0,,,lyophilized_reconstituted,1,NCT05684692,Approved
sutimlimab,ENJAYMO,ENJAYMO,"Recordati Rare Diseases, Inc.",FDA,IV,solution,originator,"1,100 mg/22 mL (50 mg/mL)",1100.0,22.0,50.0,liquid,0,UNKNOWN,Approved
tafasitamab,MONJUVI,MONJUVI,Incyte Corporation,FDA,IV,lyophilized_powder,biosimilar,200 mg/vial,200.0,,,other,0,NCT04824092,Approved
teplizumab,TZIELD,TZIELD,"Provention Bio, Inc.",FDA,IV,solution,biosimilar,2 mg per 2 mL (1 mg/mL),2.0,2.0,1.0,liquid,0,NCT07088068,Approved
teprotumumab,TEPEZZA,TEPEZZA,"Horizon Therapeutics USA, Inc.",FDA,IV,lyophilized_powder,originator,500 mg/vial,500.0,,,other,0,NCT07142642,Approved
tezepelumab,TEZSPIRE,TEZSPIRE,Amgen Inc,FDA,SC,solution,originator,210 mg/1.91 mL (110 mg/mL),210.0,1.91,109.9476439790576,liquid,0,NCT07520162,Approved
tildrakizumab,ILUMYA,ILUMYA,"Sun Pharmaceutical Industries, Inc.",FDA,SC,prefilled_syringe,biosimilar,100 mg/mL,,,100.0,liquid,0,NCT04271540,Approved
tislelizumab,TEVIMBRA,TEVIMBRA,"BeOne Medicines USA, Inc.",FDA,IV,solution,originator,100 mg/10 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT04387084,Approved
tisotumab,TIVDAK,TIVDAK,Seagen Inc.,FDA,IV,lyophilized_powder,originator,40 mg/vial,40.0,,,other,0,NCT03786081,Approved
tocilizumab,TOFIDENCE,TOFIDENCE,Biogen MA Inc,FDA,IV,solution,biosimilar,"80 mg/4 mL, 200 mg/10 mL, 400 mg/20 mL (20 mg/mL)",80.0,4.0,20.0,liquid,0,UNKNOWN,Approved
tocilizumab,TOFIDENCE,TOFIDENCE,Biogen MA Inc,FDA,IV,solution,biosimilar,"80 mg/4 mL, 200 mg/10 mL, 400 mg/20 mL (20 mg/mL)",200.0,10.0,20.0,liquid,1,UNKNOWN,Approved
tocilizumab,TOFIDENCE,TOFIDENCE,Biogen MA Inc,FDA,IV,solution,biosimilar,"80 mg/4 mL, 200 mg/10 mL, 400 mg/20 mL (20 mg/mL)",400.0,20.0,20.0,liquid,2,UNKNOWN,Approved
tocilizumab,TOFIDENCE,TOFIDENCE,Organon LLC,FDA,IV,solution,biosimilar,20 mg/mL,,,20.0,liquid,0,UNKNOWN,Approved
toripalimab,LOQTORZI,LOQTORZI,"Coherus Oncology, Inc.",FDA,IV,solution,originator,240 mg/6 mL (40 mg/mL),240.0,6.0,40.0,liquid,0,NCT07423078,Approved
tralokinumab,ADBRY,ADBRY,LEO Pharma Inc.,FDA,SC,prefilled_syringe,biosimilar,150 mg/mL,,,150.0,liquid,0,NCT05938478,Approved
trastuzumab,KADCYLA,KADCYLA,"Genentech, Inc.",FDA,IV,lyophilized_powder,biosimilar,20 mg/mL,,,20.0,liquid,0,NCT02326974,Approved
trastuzumab,PHESGO,PHESGO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"80 mg, 40 mg, and 2,000 units/mL",80.0,,,other,0,NCT04569747,Approved
trastuzumab,PHESGO,PHESGO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"80 mg, 40 mg, and 2,000 units/mL",40.0,,,other,1,NCT04569747,Approved
trastuzumab,PHESGO,PHESGO,"Genentech, Inc.",FDA,SC,solution,biosimilar,"80 mg, 40 mg, and 2,000 units/mL",,,,liquid,2,NCT04569747,Approved
trastuzumab,HERCEPTIN,HERCEPTIN,"Genentech, Inc.",FDA,IV,lyophilized_powder,originator,150 mg in 7.4 mL,150.0,7.4,20.27027027027027,liquid,0,NCT05152147,Approved
trastuzumab,ENHERTU,ENHERTU,Daiichi Sankyo Inc.,FDA,IV,lyophilized_powder,biosimilar,100 mg lyophilized powder in a single-dose vial,100.0,,,lyophilized_reconstituted,0,NCT05744375,Approved
trastuzumab,KANJINTI,KANJINTI,"Amgen, Inc",FDA,IV,lyophilized_powder,biosimilar,"For Injection: 150 mg lyophilized powder in a single-dose vial for reconstitution
For Injection: 420 mg lyophilized powder in a multiple-dose vial for reconstitution",150.0,,,lyophilized_reconstituted,0,NCT03811418,Approved
trastuzumab,KANJINTI,KANJINTI,"Amgen, Inc",FDA,IV,lyophilized_powder,biosimilar,"For Injection: 150 mg lyophilized powder in a single-dose vial for reconstitution
For Injection: 420 mg lyophilized powder in a multiple-dose vial for reconstitution",420.0,,,lyophilized_reconstituted,1,NCT03811418,Approved
trastuzumab,HERZUMA,HERZUMA,"Cephalon, Inc.",FDA,IV,lyophilized_powder,biosimilar,150 mg (single-dose vial); 420 mg (multiple-dose vial),150.0,,,other,0,NCT06083662,Approved
trastuzumab,HERZUMA,HERZUMA,"Cephalon, Inc.",FDA,IV,lyophilized_powder,biosimilar,150 mg (single-dose vial); 420 mg (multiple-dose vial),420.0,,,other,1,NCT06083662,Approved
trastuzumab,OGIVRI,OGIVRI,Biocon Biologics Inc.,FDA,IV,lyophilized_powder,biosimilar,21 mg/mL,,,21.0,liquid,0,UNKNOWN,Approved
trastuzumab,TRAZIMERA,TRAZIMERA,Pfizer Laboratories Div Pfizer Inc,FDA,IV,lyophilized_powder,biosimilar,150 mg/vial; 420 mg/vial,150.0,,,other,0,NCT03988036,Approved
trastuzumab,TRAZIMERA,TRAZIMERA,Pfizer Laboratories Div Pfizer Inc,FDA,IV,lyophilized_powder,biosimilar,150 mg/vial; 420 mg/vial,420.0,,,other,1,NCT03988036,Approved
trastuzumab,ONTRUZANT,ONTRUZANT,Organon LLC,FDA,IV,lyophilized_powder,biosimilar,150 mg/vial; 420 mg/vial,150.0,,,other,0,NCT05504720,Approved
trastuzumab,ONTRUZANT,ONTRUZANT,Organon LLC,FDA,IV,lyophilized_powder,biosimilar,150 mg/vial; 420 mg/vial,420.0,,,other,1,NCT05504720,Approved
trastuzumab,HERCEPTIN HYLECTA,HERCEPTIN HYLECTA,"Genentech, Inc.",FDA,SC,solution,biosimilar,"600 mg trastuzumab and 10,000 units hyaluronidase per 5 mL (120 mg/2,000 units per mL)",600.0,5.0,120.0,liquid,0,UNKNOWN,Approved
tremelimumab,IMJUDO,IMJUDO,AstraZeneca Pharmaceuticals LP,FDA,IV,solution,originator,25 mg/1.25 mL (20 mg/mL),25.0,1.25,20.0,liquid,0,NCT06855225,Approved
ublituximab,BRIUMVI,BRIUMVI,"TG Therapeutics, Inc.",FDA,IV,solution,originator,150 mg/6 mL (25 mg/mL),150.0,6.0,25.0,liquid,0,NCT07220252,Approved
vilobelimab,GOHIBIC,GOHIBIC,InflaRx GmbH,FDA,IV,solution,originator,200 mg/20 mL (10 mg/mL),200.0,20.0,10.0,liquid,0,UNKNOWN,Approved
zolbetuximab,VYLOY,VYLOY,"Astellas Pharma US, Inc.",FDA,IV,lyophilized_powder,originator,20 mg/mL,,,20.0,liquid,0,NCT06901531,Approved
teplizumab,Teizeild,TEIZEILD,Sanofi Winthrop Industrie,EMA,IV,solution,originator,1 mg/mL,,,1.0,liquid,0,UNKNOWN,Approved
ustekinumab,Qoyvolma,QOYVOLMA,Celltrion Healthcare Hungary Kft.,EMA,IV,solution,biosimilar,Each vial contains 130 mg ustekinumab in 26 mL (5 mg/mL).,130.0,26.0,5.0,liquid,0,UNKNOWN,Approved
ocrelizumab,Ocrevus 300 mg concentrate for solution for infusion,OCREVUS,"Roche Registration GmbH, Emil-Barell-Strasse 1, 79639 Grenzach-Wyhlen, Germany",EMA,IV,solution,originator,300 mg in 10 mL (30 mg/mL),300.0,10.0,30.0,liquid,0,NCT05285891,Approved
denosumab,Enwylma 120 mg solution for injection,ENWYLMA,Zentiva k.s.,EMA,SC,solution,biosimilar,120 mg of denosumab in 1.7 mL of solution (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
spesolimab,Spevigo 450 mg concentrate for solution for infusion,SPEVIGO,"LEO Pharma A/S, Industriparken 55, DK-2750 Ballerup, Denmark",EMA,IV,solution,originator,450 mg in 7.5 mL,450.0,7.5,60.0,liquid,0,NCT06013969,Approved
dupilumab,Dupixent,DUPIXENT,,EMA,SC,solution,originator,300 mg in 2 mL solution (150 mg/mL),300.0,2.0,150.0,liquid,0,NCT06693531,Approved
daratumumab,DARZALEX 20mg/mL concentrate for solution for infusion,DARZALEX,Janssen-Cilag International NV,EMA,IV,solution,originator,20mg/mL,,,20.0,liquid,0,NCT04972942,Approved
mogamulizumab,POTELIGEO,POTELIGEO,Kyowa Kirin Holdings B.V.,EMA,IV,solution,originator,20 mg in 5 mL,20.0,5.0,4.0,liquid,0,NCT05996185,Approved
burosumab,CRYSVITA,CRYSVITA,Kyowa Kirin Holdings B.V.,EMA,SC,solution,originator,10 mg in 1 ml; 20 mg in 1 ml; 30 mg in 1 ml; 10 mg in 0.33 ml (pre-filled syringe); 20 mg in 0.67 ml (pre-filled syringe); 30 mg in 1 ml (pre-filled syringe),10.0,1.0,10.0,liquid,0,NCT03775187,Approved
burosumab,CRYSVITA,CRYSVITA,Kyowa Kirin Holdings B.V.,EMA,SC,solution,originator,10 mg in 1 ml; 20 mg in 1 ml; 30 mg in 1 ml; 10 mg in 0.33 ml (pre-filled syringe); 20 mg in 0.67 ml (pre-filled syringe); 30 mg in 1 ml (pre-filled syringe),20.0,1.0,20.0,liquid,1,NCT03775187,Approved
burosumab,CRYSVITA,CRYSVITA,Kyowa Kirin Holdings B.V.,EMA,SC,solution,originator,10 mg in 1 ml; 20 mg in 1 ml; 30 mg in 1 ml; 10 mg in 0.33 ml (pre-filled syringe); 20 mg in 0.67 ml (pre-filled syringe); 30 mg in 1 ml (pre-filled syringe),30.0,1.0,30.0,liquid,2,NCT03775187,Approved
burosumab,CRYSVITA,CRYSVITA,Kyowa Kirin Holdings B.V.,EMA,SC,solution,originator,10 mg in 1 ml; 20 mg in 1 ml; 30 mg in 1 ml; 10 mg in 0.33 ml (pre-filled syringe); 20 mg in 0.67 ml (pre-filled syringe); 30 mg in 1 ml (pre-filled syringe),10.0,0.33,30.303030303,liquid,3,NCT03775187,Approved
burosumab,CRYSVITA,CRYSVITA,Kyowa Kirin Holdings B.V.,EMA,SC,solution,originator,10 mg in 1 ml; 20 mg in 1 ml; 30 mg in 1 ml; 10 mg in 0.33 ml (pre-filled syringe); 20 mg in 0.67 ml (pre-filled syringe); 30 mg in 1 ml (pre-filled syringe),20.0,0.67,29.850746269,liquid,4,NCT03775187,Approved
burosumab,CRYSVITA,CRYSVITA,Kyowa Kirin Holdings B.V.,EMA,SC,solution,originator,10 mg in 1 ml; 20 mg in 1 ml; 30 mg in 1 ml; 10 mg in 0.33 ml (pre-filled syringe); 20 mg in 0.67 ml (pre-filled syringe); 30 mg in 1 ml (pre-filled syringe),30.0,1.0,30.0,liquid,5,NCT03775187,Approved
sipavibart,KAVIGALE 300 mg solution for injection/infusion,KAVIGALE,AstraZeneca AB,EMA,IM,solution,originator,300 mg in 2 ml (150 mg/ml),300.0,2.0,150.0,liquid,0,UNKNOWN,Approved
relatlimab,Opdualag,OPDUALAG,Bristol-Myers Squibb Pharma EEIG,EMA,IV,solution,originator,Each mL of concentrate for solution for infusion contains 12 mg of nivolumab and 4 mg of relatlimab.,,,16.0,liquid,0,NCT06743126,Approved
tralokinumab,Adtralza,ADTRALZA,LEO Pharma A/S,EMA,SC,solution,originator,150 mg/ml,,,150.0,liquid,0,UNKNOWN,Approved
nirsevimab,Beyfortus,BEYFORTUS,Sanofi Winthrop Industrie,EMA,IM,solution,originator,50 mg in 0.5 mL (100 mg/mL); 100 mg in 1 mL (100 mg/mL),50.0,0.5,100.0,liquid,0,NCT07158814,Approved
nirsevimab,Beyfortus,BEYFORTUS,Sanofi Winthrop Industrie,EMA,IM,solution,originator,50 mg in 0.5 mL (100 mg/mL); 100 mg in 1 mL (100 mg/mL),100.0,1.0,100.0,liquid,1,NCT07158814,Approved
infliximab,Remsima,REMSIMA,"Celltrion Healthcare Hungary Kft., 1062 Budapest, Váci út 1-3. WestEnd Office Building B torony, Hungary",EMA,IV,lyophilized_powder,biosimilar,100 mg per vial (after reconstitution each mL contains 10 mg of infliximab),100.0,10.0,10.0,lyophilized_reconstituted,0,NCT06059989,Approved
dostarlimab,JEMPERLI,JEMPERLI,GlaxoSmithKline Trading Services Limited,EMA,IV,solution,originator,500 mg in 10 mL,500.0,10.0,50.0,liquid,0,NCT04387084,Approved
ustekinumab,Uzpruvo,UZPRUVO,STADA Arzneimittel AG,EMA,IV,solution,biosimilar,130 mg in 26 mL (5 mg/mL),130.0,26.0,5.0,liquid,0,UNKNOWN,Approved
atezolizumab,Tecentriq,TECENTRIQ,,EMA,IV,solution,originator,840 mg (one 14 mL vial); 1 200 mg (one 20 mL vial),840.0,14.0,60.0,liquid,0,NCT04796012,Approved
atezolizumab,Tecentriq,TECENTRIQ,,EMA,IV,solution,originator,840 mg (one 14 mL vial); 1 200 mg (one 20 mL vial),1200.0,20.0,60.0,liquid,1,NCT04796012,Approved
denosumab,Vevzuo,VEVZUO,Biosimilar Collaborations Ireland Limited,EMA,SC,solution,biosimilar,Each vial contains 120 mg of denosumab in 1.7 mL of solution (70 mg/mL).,120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
ustekinumab,Otulfi,OTULFI,Fresenius Kabi Deutschland GmbH,EMA,IV,solution,biosimilar,130 mg in 26 mL (5 mg/mL),130.0,26.0,5.0,liquid,0,UNKNOWN,Approved
